brc RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0   00  1.5300 -4.710e-02  0.021  0.073    1.60  2.4036 10.882  0.127  0.804  0.711  1.000  2.134  2.393  2.072  1.599  1.151  0.792  0.530
  400.0   00  1.5300 -2.200e-02  0.021  0.073    1.60  1.7553  7.947  0.127  0.896  0.659  1.000  1.978  2.039  1.559  1.069  0.668  0.409  0.237
  440.0   00  1.5300 -1.590e-02  0.021  0.073    1.60  1.5194  6.879  0.127  0.921  0.641  1.000  1.923  1.922  1.404  0.923  0.549  0.323  0.178
  500.0   00  1.5300 -9.610e-03  0.021  0.073    1.60  1.2153  5.502  0.127  0.949  0.614  1.000  1.843  1.766  1.207  0.749  0.415  0.232  0.119
  550.0   00  1.5300 -6.250e-03  0.021  0.073    1.60  1.0075  4.561  0.127  0.964  0.593  1.000  1.778  1.651  1.069  0.633  0.332  0.178  0.087
  600.0   00  1.5300 -6.000e-03  0.021  0.073    1.60  0.8410  3.807  0.127  0.964  0.572  1.000  1.716  1.548  0.951  0.538  0.268  0.138  0.064
  675.0   00  1.5298 -6.971e-03  0.021  0.073    1.60  0.6484  2.936  0.127  0.955  0.541  1.000  1.623  1.411  0.803  0.425  0.197  0.096  0.042
  800.0   00  1.5200 -1.000e-02  0.021  0.073    1.60  0.4210  1.906  0.127  0.923  0.490  1.000  1.471  1.228  0.620  0.294  0.123  0.055  0.022
  870.0   00  1.5182 -1.210e-02  0.021  0.073    1.60  0.3408  1.543  0.127  0.899  0.463  1.000  1.387  1.141  0.539  0.241  0.095  0.040  0.015
 1000.0   00  1.5200 -1.550e-02  0.021  0.073    1.60  0.2435  1.103  0.127  0.852  0.414  1.000  1.241  1.005  0.421  0.168  0.060  0.023  0.008
 1020.0   00  1.5192 -1.588e-02  0.021  0.073    1.60  0.2309  1.046  0.127  0.845  0.407  1.000  1.220  0.988  0.406  0.159  0.056  0.021  0.007
55555.6   00  1.9200 -4.000e-01  0.021  0.073    1.60  0.0128  0.058  0.127  0.000  0.001  1.000  0.003  0.500  0.000  0.000  0.000  0.000  0.000
23529.4   00  1.9504 -2.567e-01  0.021  0.073    1.60  0.0121  0.054  0.127  0.000  0.002  1.000  0.006  0.500  0.001  0.000  0.000  0.000  0.000
17699.1   00  2.0592 -2.111e-01  0.021  0.073    1.60  0.0123  0.056  0.127  0.001  0.004  1.000  0.012  0.500  0.002  0.000  0.000  0.000  0.000
15037.6   00  1.4183 -2.162e-01  0.021  0.073    1.60  0.0244  0.110  0.127  0.000  0.004  1.000  0.012  0.500  0.002  0.000  0.000  0.000  0.000
13157.9   00  1.6178 -6.092e-02  0.021  0.073    1.60  0.0068  0.031  0.127  0.003  0.006  1.000  0.017  0.500  0.003  0.000  0.000  0.000  0.000
11111.1   00  1.7079 -4.714e-02  0.021  0.073    1.60  0.0059  0.026  0.127  0.007  0.009  1.000  0.025  0.500  0.004  0.000  0.000  0.000  0.000
 9708.7   00  1.8911 -9.467e-02  0.021  0.073    1.60  0.0120  0.054  0.127  0.008  0.012  1.000  0.036  0.500  0.005  0.000  0.000  0.000  0.000
 8849.6   00  2.7038 -3.254e-01  0.021  0.073    1.60  0.0207  0.094  0.127  0.013  0.022  1.000  0.067  0.501  0.007  0.000  0.000  0.000  0.000
 7782.1   00  1.2547 -6.366e-02  0.021  0.073    1.60  0.0160  0.072  0.127  0.001  0.014  1.000  0.040  0.501  0.009  0.000  0.000  0.000  0.000
 6968.6   00  1.4342 -6.037e-02  0.021  0.073    1.60  0.0146  0.067  0.127  0.010  0.018  1.000  0.054  0.501  0.011  0.000  0.000  0.000  0.000
 6097.6   00  1.4177 -2.496e-02  0.021  0.073    1.60  0.0072  0.032  0.127  0.026  0.023  1.000  0.070  0.502  0.013  0.000  0.000  0.000  0.000
 5154.6   00  1.4492 -1.321e-02  0.021  0.073    1.60  0.0047  0.022  0.127  0.093  0.033  1.000  0.099  0.504  0.019  0.001  0.000  0.000  0.000
 4618.9   00  1.4579 -1.330e-02  0.021  0.073    1.60  0.0055  0.026  0.127  0.112  0.041  1.000  0.123  0.506  0.024  0.001  0.000  0.000  0.000
 4319.7   00  1.4606 -1.051e-02  0.021  0.073    1.60  0.0049  0.023  0.127  0.199  0.047  1.000  0.140  0.508  0.027  0.001  0.000  0.000  0.000
 4016.1   00  1.4555 -5.172e-03  0.021  0.073    1.60  0.0033  0.015  0.127  0.347  0.054  1.000  0.160  0.511  0.031  0.002  0.000  0.000  0.000
 3418.8   00  1.4345 -6.693e-03  0.021  0.073    1.60  0.0054  0.025  0.127  0.372  0.070  1.000  0.211  0.518  0.042  0.003  0.000  0.000  0.000
 3444.7   00  1.4395 -6.193e-03  0.021  0.073    1.60  0.0051  0.023  0.127  0.393  0.069  1.000  0.209  0.518  0.041  0.003  0.000  0.000  0.000
 2777.0   00  1.4173 -2.410e-02  0.021  0.073    1.60  0.0195  0.089  0.127  0.184  0.101  1.000  0.302  0.537  0.062  0.007  0.001  0.000  0.000
 2320.2   00  1.4133 -6.521e-03  0.021  0.073    1.60  0.0129  0.058  0.127  0.553  0.135  1.000  0.405  0.565  0.088  0.013  0.002  0.000  0.000
 2044.2   00  1.4152 -6.883e-03  0.021  0.073    1.60  0.0190  0.086  0.127  0.651  0.165  1.000  0.496  0.595  0.111  0.020  0.004  0.001  0.000
 1778.4   00  1.4636 -1.643e-02  0.021  0.073    1.60  0.0435  0.197  0.127  0.597  0.209  1.000  0.625  0.642  0.144  0.030  0.007  0.002  0.000
 1455.2   00  1.5119 -2.229e-02  0.021  0.073    1.60  0.0921  0.416  0.127  0.671  0.277  1.000  0.834  0.734  0.209  0.057  0.015  0.005  0.001
 1270.3   00  1.5100 -1.934e-02  0.021  0.073    1.60  0.1276  0.578  0.127  0.751  0.325  1.000  0.976  0.818  0.271  0.086  0.025  0.008  0.003
  944.3   00  1.5211 -1.422e-02  0.021  0.073    1.60  0.2825  1.280  0.127  0.872  0.434  1.000  1.302  1.058  0.466  0.195  0.072  0.029  0.010
  693.5   00  1.5298 -6.946e-03  0.021  0.073    1.60  0.6088  2.757  0.127  0.954  0.534  1.000  1.600  1.380  0.771  0.401  0.183  0.088  0.038
  527.1   00  1.5300 -7.487e-03  0.021  0.073    1.60  1.0972  4.967  0.127  0.959  0.603  1.000  1.807  1.702  1.129  0.683  0.367  0.201  0.100
  399.8   00  1.5300 -2.203e-02  0.021  0.073    1.60  1.7568  7.954  0.127  0.896  0.659  1.000  1.978  2.040  1.560  1.070  0.669  0.410  0.237
  329.1   00  1.5300 -3.936e-02  0.021  0.073    1.60  2.2100 10.006  0.127  0.832  0.695  1.000  2.087  2.279  1.899  1.408  0.969  0.639  0.407
  229.8   00  1.5300 -4.682e-02  0.021  0.073    1.60  2.7645 12.517  0.127  0.797  0.732  1.000  2.196  2.598  2.402  2.001  1.565  1.166  0.850
 7082.2   00  1.4183 -6.622e-02  0.021  0.073    1.60  0.0159  0.073  0.127  0.007  0.018  1.000  0.052  0.501  0.010  0.000  0.000  0.000  0.000
  300.0   50  1.4790 -3.380e-02  0.021  0.080    1.60  2.3833  9.882  0.139  0.842  0.734  1.000  2.203  2.578  2.323  1.877  1.409  1.008  0.705
  400.0   50  1.4761 -1.580e-02  0.021  0.080    1.60  1.7263  7.157  0.139  0.918  0.689  1.000  2.067  2.241  1.810  1.313  0.869  0.557  0.343
  440.0   50  1.4757 -1.143e-02  0.021  0.080    1.60  1.4947  6.197  0.139  0.938  0.671  1.000  2.015  2.122  1.644  1.146  0.725  0.448  0.263
  500.0   50  1.4750 -6.900e-03  0.021  0.080    1.60  1.1980  4.967  0.139  0.960  0.646  1.000  1.938  1.959  1.428  0.942  0.559  0.328  0.182
  550.0   50  1.4744 -4.490e-03  0.021  0.080    1.60  0.9957  4.128  0.139  0.972  0.625  1.000  1.875  1.835  1.273  0.803  0.453  0.256  0.135
  600.0   50  1.4742 -4.310e-03  0.021  0.080    1.60  0.8337  3.456  0.139  0.972  0.604  1.000  1.813  1.722  1.138  0.687  0.370  0.200  0.101
  675.0   50  1.4737 -5.010e-03  0.021  0.080    1.60  0.6457  2.677  0.139  0.964  0.574  1.000  1.720  1.570  0.966  0.546  0.275  0.141  0.067
  800.0   50  1.4661 -7.180e-03  0.021  0.080    1.60  0.4239  1.758  0.139  0.939  0.522  1.000  1.565  1.362  0.748  0.382  0.173  0.081  0.036
  870.0   50  1.4646 -8.691e-03  0.021  0.080    1.60  0.3441  1.427  0.139  0.920  0.493  1.000  1.480  1.262  0.651  0.314  0.135  0.060  0.026
 1000.0   50  1.4656 -1.110e-02  0.021  0.080    1.60  0.2456  1.018  0.139  0.882  0.443  1.000  1.330  1.107  0.510  0.221  0.086  0.035  0.014
 1020.0   50  1.4650 -1.137e-02  0.021  0.080    1.60  0.2329  0.966  0.139  0.876  0.436  1.000  1.308  1.087  0.492  0.210  0.081  0.032  0.013
