dust RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry   GamA    GamB       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0   00  1.6000 -8.701e-03  0.150  0.900    0.20  4.0154  7.957  0.151  0.964  0.701  1.000  2.104  2.573  2.380  1.837  1.226  0.608  0.153
  400.0   00  1.5800 -3.600e-03  0.150  0.900    0.20  3.0582  6.060  0.151  0.986  0.674  1.000  2.021  2.061  1.505  0.757  0.210  0.057  0.010
  440.0   00  1.5756 -2.759e-03  0.150  0.900    0.20  2.5427  5.039  0.151  0.989  0.641  1.000  1.922  1.794  1.131  0.520  0.123  0.022  0.002
  500.0   00  1.5640 -1.800e-03  0.150  0.900    0.20  1.9436  3.852  0.151  0.992  0.600  1.000  1.799  1.419  0.639  0.243  0.052  0.008  0.001
  550.0   00  1.5580 -1.400e-03  0.150  0.900    0.20  1.5736  3.119  0.151  0.993  0.589  1.000  1.766  1.248  0.460  0.143  0.027  0.003  0.000
  600.0   00  1.5530 -1.100e-03  0.150  0.900    0.20  1.2133  2.405  0.151  0.994  0.571  1.000  1.712  1.120  0.368  0.096  0.015  0.002  0.000
  675.0   00  1.5278 -4.597e-03  0.150  0.900    0.20  0.7592  1.505  0.151  0.968  0.493  1.000  1.478  0.921  0.284  0.060  0.008  0.000  0.000
  800.0   00  1.5300 -4.000e-03  0.150  0.900    0.20  0.4618  0.915  0.151  0.967  0.345  1.000  1.035  0.698  0.186  0.028  0.003  0.000  0.000
  870.0   00  1.5301 -4.265e-03  0.150  0.900    0.20  0.3583  0.710  0.151  0.959  0.285  1.000  0.854  0.635  0.153  0.020  0.001  0.000  0.000
 1000.0   00  1.5300 -1.000e-03  0.150  0.900    0.20  0.2187  0.433  0.151  0.988  0.209  1.000  0.627  0.573  0.113  0.011  0.001  0.000  0.000
 1020.0   00  1.5300 -6.722e-04  0.150  0.900    0.20  0.2029  0.402  0.151  0.990  0.200  1.000  0.601  0.567  0.108  0.010  0.001  0.000  0.000
55555.6   00  2.4200 -6.200e-01  0.150  0.900    0.20  0.0151  0.030  0.151  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000  0.000
23529.4   00  2.8810 -9.354e-01  0.150  0.900    0.20  0.0223  0.044  0.151  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
17699.1   00  1.6276 -4.238e-01  0.150  0.900    0.20  0.0407  0.081  0.151  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
15037.6   00  1.5047 -2.635e-01  0.150  0.900    0.20  0.0331  0.066  0.151  0.000  0.001  1.000  0.003  0.500  0.001  0.000  0.000  0.000  0.000
13157.9   00  2.0100 -3.089e-01  0.150  0.900    0.20  0.0282  0.056  0.151  0.001  0.002  1.000  0.005  0.500  0.001  0.000  0.000  0.000  0.000
11111.1   00  1.8279 -2.169e-01  0.150  0.900    0.20  0.0286  0.057  0.151  0.001  0.002  1.000  0.006  0.500  0.001  0.000  0.000  0.000  0.000
 9708.7   00  3.0062 -6.774e-01  0.150  0.900    0.20  0.0382  0.076  0.151  0.004  0.005  1.000  0.013  0.500  0.001  0.000  0.000  0.000  0.000
 8849.6   00  1.4979 -3.619e-01  0.150  0.900    0.20  0.0771  0.153  0.151  0.000  0.003  1.000  0.008  0.500  0.002  0.000  0.000  0.000  0.000
 7782.1   00  1.2660 -9.247e-02  0.150  0.900    0.20  0.0265  0.052  0.151  0.001  0.003  1.000  0.009  0.500  0.002  0.000  0.000  0.000  0.000
 6968.6   00  1.4646 -1.067e-01  0.150  0.900    0.20  0.0295  0.059  0.151  0.003  0.005  1.000  0.013  0.500  0.002  0.000  0.000  0.000  0.000
 6097.6   00  1.4354 -6.038e-02  0.150  0.900    0.20  0.0200  0.040  0.151  0.006  0.005  1.000  0.016  0.500  0.003  0.000  0.000  0.000  0.000
 5154.6   00  1.4734 -2.312e-02  0.150  0.900    0.20  0.0091  0.018  0.151  0.030  0.008  1.000  0.023  0.500  0.005  0.000  0.000  0.000  0.000
 4618.9   00  1.4966 -1.028e-02  0.150  0.900    0.20  0.0048  0.009  0.151  0.094  0.009  1.000  0.028  0.500  0.006  0.000  0.000  0.000  0.000
 4319.7   00  1.5022 -6.666e-03  0.150  0.900    0.20  0.0036  0.007  0.151  0.166  0.011  1.000  0.033  0.500  0.006  0.000  0.000  0.000  0.000
 4016.1   00  1.5002 -6.515e-03  0.150  0.900    0.20  0.0040  0.008  0.151  0.202  0.013  1.000  0.038  0.500  0.007  0.000  0.000  0.000  0.000
 3418.8   00  1.5103 -1.895e-02  0.150  0.900    0.20  0.0125  0.024  0.151  0.128  0.018  1.000  0.052  0.501  0.010  0.000  0.000  0.000  0.000
 3444.7   00  1.5104 -1.870e-02  0.150  0.900    0.20  0.0123  0.024  0.151  0.127  0.018  1.000  0.051  0.501  0.010  0.000  0.000  0.000  0.000
 2777.0   00  1.5228 -3.478e-02  0.150  0.900    0.20  0.0279  0.055  0.151  0.162  0.027  1.000  0.079  0.501  0.015  0.000  0.000  0.000  0.000
 2320.2   00  1.5226 -7.818e-03  0.150  0.900    0.20  0.0155  0.031  0.151  0.459  0.038  1.000  0.114  0.502  0.021  0.000  0.000  0.000  0.000
 2044.2   00  1.5294 -7.515e-03  0.150  0.900    0.20  0.0213  0.042  0.151  0.624  0.049  1.000  0.147  0.504  0.027  0.001  0.000  0.000  0.000
 1778.4   00  1.5301 -6.588e-03  0.150  0.900    0.20  0.0315  0.062  0.151  0.747  0.065  1.000  0.194  0.507  0.036  0.001  0.000  0.000  0.000
 1455.2   00  1.5300 -5.847e-03  0.150  0.900    0.20  0.0616  0.122  0.151  0.852  0.097  1.000  0.289  0.516  0.053  0.002  0.000  0.000  0.000
 1270.3   00  1.5300 -5.362e-03  0.150  0.900    0.20  0.0991  0.196  0.151  0.898  0.127  1.000  0.380  0.527  0.069  0.004  0.000  0.000  0.000
  944.3   00  1.5300 -2.757e-03  0.150  0.900    0.20  0.2713  0.537  0.151  0.972  0.237  1.000  0.711  0.594  0.128  0.014  0.001  0.000  0.000
  693.5   00  1.5294 -4.138e-03  0.150  0.900    0.20  0.7041  1.396  0.151  0.970  0.469  1.000  1.407  0.877  0.265  0.053  0.006  0.000  0.000
  527.1   00  1.5598 -1.634e-03  0.150  0.900    0.20  1.7375  3.444  0.151  0.992  0.593  1.000  1.778  1.313  0.521  0.177  0.035  0.004  0.000
  399.8   00  1.5800 -3.619e-03  0.150  0.900    0.20  3.0605  6.065  0.151  0.986  0.674  1.000  2.021  2.062  1.507  0.758  0.211  0.058  0.010
  329.1   00  1.6010 -5.361e-03  0.150  0.900    0.20  3.8049  7.540  0.151  0.979  0.685  1.000  2.057  2.408  2.055  1.387  0.763  0.325  0.030
  229.8   00  1.5191 -3.320e-02  0.150  0.900    0.20  3.7725  7.476  0.151  0.857  0.767  1.000  2.303  3.009  3.071  2.824  2.343  1.652  1.013
 7082.2   00  1.4680 -1.212e-01  0.150  0.900    0.20  0.0333  0.066  0.151  0.003  0.004  1.000  0.012  0.500  0.002  0.000  0.000  0.000  0.000
  300.0   00  1.6000 -8.701e-03  0.250  0.900    0.20  2.6560  3.152  0.253  0.905  0.555  1.000  1.666  2.248  1.871  2.248  2.056  2.231  2.048
  400.0   00  1.5800 -3.600e-03  0.250  0.900    0.20  3.9669  4.708  0.253  0.980  0.687  1.000  2.060  2.715  2.658  2.515  2.163  1.591  1.024
  440.0   00  1.5756 -2.759e-03  0.250  0.900    0.20  4.1222  4.892  0.253  0.986  0.700  1.000  2.099  2.709  2.588  2.272  1.755  1.127  0.579
  500.0   00  1.5640 -1.800e-03  0.250  0.900    0.20  3.9619  4.702  0.253  0.992  0.713  1.000  2.139  2.623  2.414  1.838  1.196  0.589  0.145
  550.0   00  1.5580 -1.400e-03  0.250  0.900    0.20  3.6240  4.301  0.253  0.994  0.700  1.000  2.101  2.473  2.097  1.416  0.769  0.355  0.076
  600.0   00  1.5530 -1.100e-03  0.250  0.900    0.20  3.2556  3.864  0.253  0.995  0.692  1.000  2.077  2.287  1.790  1.017  0.388  0.147  0.031
  675.0   00  1.5278 -4.597e-03  0.250  0.900    0.20  2.5878  3.071  0.253  0.980  0.680  1.000  2.041  2.057  1.437  0.714  0.201  0.049  0.009
  800.0   00  1.5300 -4.000e-03  0.250  0.900    0.20  1.8831  2.235  0.253  0.981  0.619  1.000  1.856  1.544  0.746  0.296  0.068  0.011  0.001
  870.0   00  1.5301 -4.265e-03  0.250  0.900    0.20  1.6019  1.901  0.253  0.978  0.603  1.000  1.810  1.357  0.548  0.185  0.038  0.005  0.000
 1000.0   00  1.5300 -1.000e-03  0.250  0.900    0.20  1.0985  1.304  0.253  0.994  0.569  1.000  1.706  1.119  0.373  0.096  0.015  0.002  0.000
 1020.0   00  1.5300 -6.722e-04  0.250  0.900    0.20  1.0324  1.226  0.253  0.995  0.559  1.000  1.677  1.086  0.355  0.088  0.013  0.002  0.000
55555.6   00  2.4200 -6.200e-01  0.250  0.900    0.20  0.0253  0.030  0.253  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
23529.4   00  2.8810 -9.354e-01  0.250  0.900    0.20  0.0377  0.045  0.253  0.001  0.002  1.000  0.006  0.500  0.001  0.000  0.000  0.000  0.000
17699.1   00  1.6276 -4.238e-01  0.250  0.900    0.20  0.0683  0.081  0.253  0.001  0.002  1.000  0.006  0.500  0.001  0.000  0.000  0.000  0.000
15037.6   00  1.5047 -2.635e-01  0.250  0.900    0.20  0.0555  0.066  0.253  0.001  0.002  1.000  0.007  0.500  0.001  0.000  0.000  0.000  0.000
13157.9   00  2.0100 -3.089e-01  0.250  0.900    0.20  0.0477  0.057  0.253  0.003  0.004  1.000  0.013  0.500  0.002  0.000  0.000  0.000  0.000
11111.1   00  1.8279 -2.169e-01  0.250  0.900    0.20  0.0485  0.058  0.253  0.006  0.005  1.000  0.016  0.500  0.003  0.000  0.000  0.000  0.000
 9708.7   00  3.0062 -6.774e-01  0.250  0.900    0.20  0.0677  0.080  0.253  0.019  0.013  1.000  0.037  0.500  0.003  0.000  0.000  0.000  0.000
 8849.6   00  1.4979 -3.619e-01  0.250  0.900    0.20  0.1305  0.154  0.253  0.003  0.007  1.000  0.021  0.500  0.004  0.000  0.000  0.000  0.000
 7782.1   00  1.2660 -9.247e-02  0.250  0.900    0.20  0.0447  0.053  0.253  0.003  0.008  1.000  0.025  0.500  0.005  0.000  0.000  0.000  0.000
