h2so4 RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0   00  1.4690 -1.000e-08  0.089  0.089    0.60  2.7028  6.939  0.172  1.000  0.718  1.000  2.154  2.663  2.452  2.136  1.703  1.323  1.013
  400.0   00  1.4400 -1.000e-08  0.089  0.089    0.60  1.9939  5.119  0.172  1.000  0.719  1.000  2.156  2.539  2.239  1.811  1.343  0.962  0.673
  440.0   00  1.4330 -9.975e-09  0.089  0.089    0.60  1.7410  4.470  0.172  1.000  0.712  1.000  2.137  2.467  2.127  1.675  1.207  0.843  0.571
  500.0   00  1.4310 -1.000e-08  0.089  0.089    0.60  1.4441  3.707  0.172  1.000  0.697  1.000  2.091  2.338  1.937  1.464  1.010  0.677  0.440
  550.0   00  1.4300 -1.000e-08  0.089  0.089    0.60  1.2369  3.175  0.172  1.000  0.683  1.000  2.049  2.231  1.788  1.306  0.870  0.566  0.355
  600.0   00  1.4290 -1.470e-08  0.089  0.089    0.60  1.0603  2.722  0.172  1.000  0.668  1.000  2.004  2.129  1.649  1.167  0.751  0.475  0.289
  675.0   00  1.4286 -1.606e-08  0.089  0.089    0.60  0.8486  2.178  0.172  1.000  0.645  1.000  1.935  1.983  1.461  0.986  0.603  0.366  0.213
  800.0   00  1.4260 -8.629e-08  0.089  0.089    0.60  0.5892  1.513  0.172  1.000  0.605  1.000  1.816  1.769  1.200  0.752  0.426  0.243  0.132
  870.0   00  1.4254  1.810e-07  0.089  0.089    0.60  0.4861  1.248  0.172  1.000  0.583  1.000  1.749  1.663  1.078  0.648  0.353  0.194  0.102
 1000.0   00  1.4220 -1.530e-06  0.089  0.089    0.60  0.3428  0.880  0.172  1.000  0.542  1.000  1.627  1.490  0.891  0.498  0.253  0.131  0.065
 1020.0   00  1.4213  2.224e-08  0.089  0.089    0.60  0.3251  0.834  0.172  1.000  0.536  1.000  1.609  1.466  0.866  0.479  0.241  0.124  0.061
55555.6   00  1.9000 -1.900e-01  0.089  0.089    0.60  0.0085  0.022  0.172  0.000  0.002  1.000  0.007  0.500  0.001  0.000  0.000  0.000  0.000
23529.4   00  1.9155 -1.876e-02  0.089  0.089    0.60  0.0000  0.000  0.172  0.006  0.006  1.000  0.016  0.500  0.003  0.000  0.000  0.000  0.000
17699.1   00  1.8923 -2.355e-01  0.089  0.089    0.60  0.0229  0.059  0.172  0.007  0.009  1.000  0.027  0.500  0.004  0.000  0.000  0.000  0.000
15037.6   00  1.5858 -2.122e-01  0.089  0.089    0.60  0.0287  0.074  0.172  0.002  0.011  1.000  0.033  0.501  0.006  0.000  0.000  0.000  0.000
13157.9   00  1.6817 -1.958e-01  0.089  0.089    0.60  0.0280  0.071  0.172  0.003  0.016  1.000  0.046  0.501  0.008  0.000  0.000  0.000  0.000
11111.1   00  1.7044 -4.858e-01  0.089  0.089    0.60  0.0812  0.209  0.172  0.003  0.020  1.000  0.061  0.502  0.011  0.000  0.000  0.000  0.000
 9708.7   00  1.8565 -7.444e-01  0.089  0.089    0.60  0.1222  0.314  0.172  0.006  0.027  1.000  0.081  0.503  0.013  0.000  0.000  0.000  0.000
 8849.6   00  1.6203 -7.152e-01  0.089  0.089    0.60  0.1569  0.403  0.172  0.005  0.028  1.000  0.084  0.503  0.015  0.001  0.000  0.000  0.000
 7782.1   00  1.1366 -4.245e-01  0.089  0.089    0.60  0.1525  0.391  0.172  0.003  0.029  1.000  0.088  0.504  0.021  0.001  0.000  0.000  0.000
 6968.6   00  1.2605 -1.318e-01  0.089  0.089    0.60  0.0487  0.125  0.172  0.005  0.041  1.000  0.121  0.507  0.026  0.001  0.000  0.000  0.000
 6097.6   00  1.4291 -1.816e-01  0.089  0.089    0.60  0.0704  0.181  0.172  0.013  0.056  1.000  0.167  0.513  0.034  0.002  0.000  0.000  0.000
 5154.6   00  1.3446 -1.364e-01  0.089  0.089    0.60  0.0668  0.171  0.172  0.019  0.071  1.000  0.215  0.522  0.046  0.004  0.001  0.000  0.000
 4618.9   00  1.3832 -1.168e-01  0.089  0.089    0.60  0.0639  0.164  0.172  0.032  0.088  1.000  0.265  0.531  0.056  0.006  0.001  0.000  0.000
 4319.7   00  1.3837 -1.240e-01  0.089  0.089    0.60  0.0731  0.188  0.172  0.036  0.098  1.000  0.295  0.538  0.063  0.008  0.001  0.000  0.000
 4016.1   00  1.3844 -1.261e-01  0.089  0.089    0.60  0.0809  0.208  0.172  0.043  0.110  1.000  0.331  0.547  0.072  0.010  0.002  0.000  0.000
 3418.8   00  1.3572 -1.591e-01  0.089  0.089    0.60  0.1233  0.317  0.172  0.047  0.138  1.000  0.412  0.572  0.096  0.016  0.003  0.001  0.000
