org RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0   00  1.5300 -7.999e-03  0.021  0.073    1.60  2.4568  8.033  0.127  0.959  0.683  1.000  2.050  2.315  1.946  1.500  1.056  0.724  0.474
  400.0   00  1.5300 -5.000e-03  0.021  0.073    1.60  1.7466  5.711  0.127  0.974  0.650  1.000  1.951  2.021  1.530  1.052  0.652  0.400  0.229
  440.0   00  1.5300 -4.996e-03  0.021  0.073    1.60  1.5081  4.931  0.127  0.974  0.636  1.000  1.907  1.913  1.390  0.916  0.542  0.320  0.174
  500.0   00  1.5300 -5.000e-03  0.021  0.073    1.60  1.2077  3.949  0.127  0.973  0.612  1.000  1.837  1.764  1.203  0.747  0.414  0.232  0.118
  550.0   00  1.5300 -6.000e-03  0.021  0.073    1.60  1.0070  3.293  0.127  0.966  0.593  1.000  1.778  1.651  1.069  0.633  0.332  0.178  0.087
  600.0   00  1.5300 -6.000e-03  0.021  0.073    1.60  0.8410  2.750  0.127  0.964  0.572  1.000  1.716  1.548  0.951  0.538  0.268  0.138  0.064
  675.0   00  1.5298 -6.989e-03  0.021  0.073    1.60  0.6484  2.120  0.127  0.955  0.541  1.000  1.623  1.411  0.803  0.425  0.197  0.096  0.042
  800.0   00  1.5200 -1.000e-02  0.021  0.073    1.60  0.4210  1.377  0.127  0.923  0.490  1.000  1.471  1.228  0.620  0.294  0.123  0.055  0.022
  870.0   00  1.5182 -1.210e-02  0.021  0.073    1.60  0.3408  1.115  0.127  0.899  0.463  1.000  1.387  1.141  0.539  0.241  0.095  0.040  0.015
 1000.0   00  1.5200 -1.550e-02  0.021  0.073    1.60  0.2435  0.796  0.127  0.852  0.414  1.000  1.241  1.005  0.421  0.168  0.060  0.023  0.008
 1020.0   00  1.5192 -1.588e-02  0.021  0.073    1.60  0.2309  0.755  0.127  0.845  0.407  1.000  1.220  0.988  0.406  0.159  0.056  0.021  0.007
55555.6   00  1.9200 -4.000e-01  0.021  0.073    1.60  0.0128  0.042  0.127  0.000  0.001  1.000  0.003  0.500  0.000  0.000  0.000  0.000  0.000
23529.4   00  1.9504 -2.567e-01  0.021  0.073    1.60  0.0121  0.039  0.127  0.000  0.002  1.000  0.006  0.500  0.001  0.000  0.000  0.000  0.000
17699.1   00  2.0592 -2.111e-01  0.021  0.073    1.60  0.0123  0.041  0.127  0.001  0.004  1.000  0.012  0.500  0.002  0.000  0.000  0.000  0.000
15037.6   00  1.4183 -2.162e-01  0.021  0.073    1.60  0.0244  0.080  0.127  0.000  0.004  1.000  0.012  0.500  0.002  0.000  0.000  0.000  0.000
13157.9   00  1.6178 -6.092e-02  0.021  0.073    1.60  0.0068  0.022  0.127  0.003  0.006  1.000  0.017  0.500  0.003  0.000  0.000  0.000  0.000
