so4 RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0   00  1.5300 -7.999e-03  0.069  0.069    1.60  2.3316  8.520  0.121  0.959  0.679  1.000  2.037  2.265  1.873  1.415  0.975  0.655  0.418
  400.0   00  1.5300 -5.000e-03  0.069  0.069    1.60  1.6105  5.885  0.121  0.974  0.642  1.000  1.927  1.960  1.451  0.974  0.589  0.353  0.197
  440.0   00  1.5300 -4.996e-03  0.069  0.069    1.60  1.3779  5.035  0.121  0.973  0.626  1.000  1.879  1.850  1.311  0.842  0.485  0.280  0.149
  500.0   00  1.5300 -5.000e-03  0.069  0.069    1.60  1.0905  3.985  0.121  0.972  0.601  1.000  1.804  1.700  1.126  0.681  0.366  0.200  0.100
  550.0   00  1.5300 -6.000e-03  0.069  0.069    1.60  0.9019  3.296  0.121  0.965  0.580  1.000  1.740  1.587  0.995  0.573  0.292  0.153  0.072
  600.0   00  1.5300 -6.000e-03  0.069  0.069    1.60  0.7476  2.732  0.121  0.962  0.558  1.000  1.675  1.484  0.882  0.484  0.234  0.117  0.053
  675.0   00  1.5298 -6.989e-03  0.069  0.069    1.60  0.5711  2.087  0.121  0.952  0.526  1.000  1.576  1.349  0.740  0.378  0.169  0.080  0.034
  800.0   00  1.5200 -1.000e-02  0.069  0.069    1.60  0.3668  1.340  0.121  0.918  0.473  1.000  1.418  1.171  0.566  0.259  0.104  0.045  0.017
  870.0   00  1.5182 -1.210e-02  0.069  0.069    1.60  0.2957  1.080  0.121  0.892  0.444  1.000  1.332  1.087  0.490  0.210  0.080  0.032  0.012
 1000.0   00  1.5200 -1.550e-02  0.069  0.069    1.60  0.2105  0.769  0.121  0.842  0.394  1.000  1.182  0.958  0.381  0.145  0.049  0.018  0.006
 1020.0   00  1.5192 -1.588e-02  0.069  0.069    1.60  0.1995  0.729  0.121  0.834  0.387  1.000  1.160  0.942  0.368  0.137  0.046  0.017  0.005
55555.6   00  1.9200 -4.000e-01  0.069  0.069    1.60  0.0122  0.044  0.121  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
23529.4   00  1.9504 -2.567e-01  0.069  0.069    1.60  0.0114  0.041  0.121  0.000  0.002  1.000  0.006  0.500  0.001  0.000  0.000  0.000  0.000
17699.1   00  2.0592 -2.111e-01  0.069  0.069    1.60  0.0116  0.043  0.121  0.001  0.003  1.000  0.011  0.500  0.001  0.000  0.000  0.000  0.000
15037.6   00  1.4183 -2.162e-01  0.069  0.069    1.60  0.0231  0.084  0.121  0.000  0.004  1.000  0.011  0.500  0.002  0.000  0.000  0.000  0.000
13157.9   00  1.6178 -6.092e-02  0.069  0.069    1.60  0.0065  0.023  0.121  0.002  0.005  1.000  0.016  0.500  0.003  0.000  0.000  0.000  0.000
11111.1   00  1.7079 -4.714e-02  0.069  0.069    1.60  0.0056  0.020  0.121  0.006  0.008  1.000  0.023  0.500  0.004  0.000  0.000  0.000  0.000
 9708.7   00  1.8911 -9.467e-02  0.069  0.069    1.60  0.0113  0.042  0.121  0.007  0.011  1.000  0.033  0.500  0.005  0.000  0.000  0.000  0.000
 8849.6   00  2.7038 -3.254e-01  0.069  0.069    1.60  0.0195  0.071  0.121  0.011  0.020  1.000  0.060  0.501  0.005  0.000  0.000  0.000  0.000
 7782.1   00  1.2547 -6.366e-02  0.069  0.069    1.60  0.0152  0.056  0.121  0.001  0.011  1.000  0.036  0.501  0.008  0.000  0.000  0.000  0.000
 6968.6   00  1.4342 -6.037e-02  0.069  0.069    1.60  0.0138  0.051  0.121  0.009  0.016  1.000  0.049  0.501  0.010  0.000  0.000  0.000  0.000
 6097.6   00  1.4177 -2.496e-02  0.069  0.069    1.60  0.0068  0.025  0.121  0.022  0.022  1.000  0.063  0.502  0.013  0.000  0.000  0.000  0.000
 5154.6   00  1.4492 -1.321e-02  0.069  0.069    1.60  0.0044  0.016  0.121  0.082  0.030  1.000  0.089  0.504  0.017  0.001  0.000  0.000  0.000
 4618.9   00  1.4579 -1.330e-02  0.069  0.069    1.60  0.0052  0.019  0.121  0.097  0.037  1.000  0.111  0.505  0.021  0.001  0.000  0.000  0.000
 4319.7   00  1.4606 -1.051e-02  0.069  0.069    1.60  0.0046  0.017  0.121  0.176  0.042  1.000  0.126  0.507  0.024  0.001  0.000  0.000  0.000
 4016.1   00  1.4555 -5.172e-03  0.069  0.069    1.60  0.0030  0.011  0.121  0.312  0.048  1.000  0.144  0.509  0.028  0.001  0.000  0.000  0.000
 3418.8   00  1.4345 -6.693e-03  0.069  0.069    1.60  0.0049  0.018  0.121  0.337  0.064  1.000  0.191  0.515  0.038  0.003  0.000  0.000  0.000
 3444.7   00  1.4395 -6.193e-03  0.069  0.069    1.60  0.0046  0.017  0.121  0.357  0.063  1.000  0.189  0.515  0.037  0.003  0.000  0.000  0.000
 2777.0   00  1.4173 -2.410e-02  0.069  0.069    1.60  0.0179  0.065  0.121  0.162  0.092  1.000  0.275  0.532  0.055  0.006  0.000  0.000  0.000
 2320.2   00  1.4133 -6.521e-03  0.069  0.069    1.60  0.0111  0.041  0.121  0.518  0.124  1.000  0.371  0.555  0.078  0.010  0.002  0.000  0.000
 2044.2   00  1.4152 -6.883e-03  0.069  0.069    1.60  0.0164  0.060  0.121  0.621  0.152  1.000  0.456  0.580  0.100  0.016  0.003  0.001  0.000
 1778.4   00  1.4636 -1.643e-02  0.069  0.069    1.60  0.0378  0.138  0.121  0.567  0.193  1.000  0.578  0.622  0.129  0.026  0.005  0.001  0.000
 1455.2   00  1.5119 -2.229e-02  0.069  0.069    1.60  0.0798  0.292  0.121  0.646  0.260  1.000  0.780  0.707  0.188  0.048  0.012  0.004  0.001
 1270.3   00  1.5100 -1.934e-02  0.069  0.069    1.60  0.1101  0.402  0.121  0.731  0.306  1.000  0.919  0.783  0.244  0.073  0.021  0.007  0.002
  944.3   00  1.5211 -1.422e-02  0.069  0.069    1.60  0.2446  0.894  0.121  0.864  0.415  1.000  1.244  1.008  0.423  0.169  0.060  0.023  0.008
  693.5   00  1.5298 -6.951e-03  0.069  0.069    1.60  0.5351  1.956  0.121  0.951  0.518  1.000  1.552  1.319  0.709  0.356  0.157  0.073  0.031
  527.1   00  1.5300 -5.576e-03  0.069  0.069    1.60  0.9832  3.593  0.121  0.968  0.590  1.000  1.769  1.637  1.052  0.620  0.323  0.173  0.084
  399.8   00  1.5300 -5.006e-03  0.069  0.069    1.60  1.6120  5.891  0.121  0.974  0.642  1.000  1.927  1.961  1.452  0.975  0.590  0.354  0.197
  329.1   00  1.5300 -4.331e-03  0.069  0.069    1.60  2.1050  7.692  0.121  0.976  0.667  1.000  2.000  2.164  1.726  1.255  0.826  0.533  0.323
