soot RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0   00  1.7400 -4.700e-01  0.020  0.020    1.60  0.9543 11.444  0.035  0.263  0.327  1.000  0.982  0.787  0.280  0.094  0.029  0.009  0.003
  400.0   00  1.7500 -4.600e-01  0.020  0.020    1.60  0.6229  7.470  0.035  0.194  0.247  1.000  0.742  0.658  0.167  0.042  0.010  0.002  0.001
  440.0   00  1.7502 -4.560e-01  0.020  0.020    1.60  0.5370  6.440  0.035  0.170  0.222  1.000  0.668  0.628  0.141  0.031  0.007  0.001  0.000
  500.0   00  1.7500 -4.500e-01  0.020  0.020    1.60  0.4398  5.274  0.035  0.139  0.192  1.000  0.575  0.596  0.113  0.021  0.004  0.001  0.000
  550.0   00  1.7500 -4.400e-01  0.020  0.020    1.60  0.3755  4.503  0.035  0.118  0.171  1.000  0.512  0.576  0.096  0.016  0.003  0.001  0.000
  600.0   00  1.7500 -4.350e-01  0.020  0.020    1.60  0.3282  3.936  0.035  0.101  0.152  1.000  0.457  0.561  0.083  0.012  0.002  0.000  0.000
  675.0   00  1.7500 -4.326e-01  0.020  0.020    1.60  0.2773  3.325  0.035  0.079  0.129  1.000  0.387  0.545  0.067  0.008  0.001  0.000  0.000
  800.0   00  1.7500 -4.300e-01  0.020  0.020    1.60  0.2201  2.639  0.035  0.053  0.100  1.000  0.299  0.528  0.050  0.005  0.000  0.000  0.000
  870.0   00  1.7491 -4.331e-01  0.020  0.020    1.60  0.1992  2.389  0.035  0.043  0.087  1.000  0.261  0.522  0.043  0.004  0.000  0.000  0.000
 1000.0   00  1.7600 -4.400e-01  0.020  0.020    1.60  0.1694  2.031  0.035  0.030  0.069  1.000  0.208  0.514  0.034  0.002  0.000  0.000  0.000
 1020.0   00  1.7615 -4.409e-01  0.020  0.020    1.60  0.1656  1.985  0.035  0.029  0.067  1.000  0.201  0.513  0.033  0.002  0.000  0.000  0.000
55555.6   00  2.6300 -9.700e-01  0.020  0.020    1.60  0.0043  0.051  0.035  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000  0.000  0.000
23529.4   00  2.4945 -8.786e-01  0.020  0.020    1.60  0.0066  0.078  0.035  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000  0.000
17699.1   00  2.3930 -8.231e-01  0.020  0.020    1.60  0.0090  0.107  0.035  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000  0.000
15037.6   00  2.3301 -7.900e-01  0.020  0.020    1.60  0.0107  0.129  0.035  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000  0.000
13157.9   00  2.2837 -7.627e-01  0.020  0.020    1.60  0.0123  0.148  0.035  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
11111.1   00  2.2325 -7.315e-01  0.020  0.020    1.60  0.0147  0.177  0.035  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
 9708.7   00  2.1962 -7.137e-01  0.020  0.020    1.60  0.0171  0.204  0.035  0.000  0.001  1.000  0.003  0.500  0.000  0.000  0.000  0.000  0.000
 8849.6   00  2.1647 -6.950e-01  0.020  0.020    1.60  0.0188  0.225  0.035  0.000  0.001  1.000  0.004  0.500  0.000  0.000  0.000  0.000  0.000
 7782.1   00  2.1127 -6.666e-01  0.020  0.020    1.60  0.0216  0.258  0.035  0.000  0.001  1.000  0.004  0.500  0.001  0.000  0.000  0.000  0.000
 6968.6   00  2.0490 -6.426e-01  0.020  0.020    1.60  0.0246  0.294  0.035  0.000  0.002  1.000  0.005  0.500  0.001  0.000  0.000  0.000  0.000
 6097.6   00  2.0252 -6.225e-01  0.020  0.020    1.60  0.0278  0.334  0.035  0.000  0.002  1.000  0.007  0.500  0.001  0.000  0.000  0.000  0.000
 5154.6   00  1.9768 -6.033e-01  0.020  0.020    1.60  0.0334  0.401  0.035  0.000  0.003  1.000  0.009  0.500  0.002  0.000  0.000  0.000  0.000
 4618.9   00  1.9463 -5.920e-01  0.020  0.020    1.60  0.0377  0.452  0.035  0.000  0.004  1.000  0.011  0.500  0.002  0.000  0.000  0.000  0.000
 4319.7   00  1.9334 -5.875e-01  0.020  0.020    1.60  0.0405  0.485  0.035  0.000  0.004  1.000  0.013  0.500  0.002  0.000  0.000  0.000  0.000
 4016.1   00  1.9210 -5.806e-01  0.020  0.020    1.60  0.0435  0.522  0.035  0.001  0.005  1.000  0.015  0.500  0.002  0.000  0.000  0.000  0.000
 3418.8   00  1.8723 -5.518e-01  0.020  0.020    1.60  0.0510  0.612  0.035  0.001  0.007  1.000  0.021  0.500  0.003  0.000  0.000  0.000  0.000
 3444.7   00  1.8747 -5.546e-01  0.020  0.020    1.60  0.0508  0.609  0.035  0.001  0.007  1.000  0.021  0.500  0.003  0.000  0.000  0.000  0.000
 2777.0   00  1.8267 -5.301e-01  0.020  0.020    1.60  0.0631  0.756  0.035  0.001  0.010  1.000  0.030  0.500  0.005  0.000  0.000  0.000  0.000
 2320.2   00  1.8135 -5.005e-01  0.020  0.020    1.60  0.0728  0.873  0.035  0.003  0.014  1.000  0.043  0.501  0.007  0.000  0.000  0.000  0.000
 2044.2   00  1.8016 -4.912e-01  0.020  0.020    1.60  0.0824  0.988  0.035  0.004  0.018  1.000  0.056  0.501  0.009  0.000  0.000  0.000  0.000
 1778.4   00  1.7916 -4.818e-01  0.020  0.020    1.60  0.0945  1.134  0.035  0.006  0.024  1.000  0.073  0.502  0.012  0.000  0.000  0.000  0.000
 1455.2   00  1.7667 -4.574e-01  0.020  0.020    1.60  0.1139  1.366  0.035  0.011  0.035  1.000  0.105  0.504  0.017  0.001  0.000  0.000  0.000
 1270.3   00  1.7599 -4.507e-01  0.020  0.020    1.60  0.1313  1.575  0.035  0.015  0.045  1.000  0.135  0.507  0.022  0.001  0.000  0.000  0.000
  944.3   00  1.7539 -4.374e-01  0.020  0.020    1.60  0.1813  2.174  0.035  0.035  0.076  1.000  0.228  0.517  0.038  0.002  0.000  0.000  0.000
  693.5   00  1.7500 -4.305e-01  0.020  0.020    1.60  0.2661  3.191  0.035  0.074  0.124  1.000  0.372  0.542  0.064  0.007  0.001  0.000  0.000
  527.1   00  1.7500 -4.447e-01  0.020  0.020    1.60  0.4031  4.833  0.035  0.127  0.180  1.000  0.539  0.584  0.103  0.018  0.003  0.001  0.000
  399.8   00  1.7500 -4.600e-01  0.020  0.020    1.60  0.6235  7.477  0.035  0.194  0.247  1.000  0.743  0.658  0.167  0.042  0.010  0.002  0.001
  329.1   00  1.7562 -4.692e-01  0.020  0.020    1.60  0.8394 10.067  0.035  0.245  0.300  1.000  0.899  0.733  0.233  0.070  0.019  0.006  0.001
  229.8   00  1.6019 -4.468e-01  0.020  0.020    1.60  1.1417 13.691  0.035  0.268  0.391  1.000  1.171  0.953  0.427  0.173  0.063  0.024  0.009
 7082.2   00  2.0533 -6.463e-01  0.020  0.020    1.60  0.0242  0.290  0.035  0.000  0.002  1.000  0.005  0.500  0.001  0.000  0.000  0.000  0.000
  300.0   50  1.7400 -4.700e-01  0.020  0.020    1.60  0.9543 11.444  0.035  0.263  0.327  1.000  0.982  0.787  0.280  0.094  0.029  0.009  0.003
