ssa RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0   00  1.5100 -2.000e-06  0.085  0.085    1.50  2.5412  6.733  0.129  1.000  0.691  1.000  2.074  2.361  1.984  1.505  1.026  0.672  0.412
  400.0   00  1.5000 -3.000e-08  0.085  0.085    1.50  1.6772  4.444  0.129  1.000  0.658  1.000  1.974  2.025  1.499  0.989  0.575  0.328  0.170
  440.0   00  1.4997 -2.383e-08  0.085  0.085    1.50  1.4171  3.755  0.129  1.000  0.640  1.000  1.919  1.892  1.326  0.829  0.453  0.246  0.120
  500.0   00  1.5000 -1.550e-08  0.085  0.085    1.50  1.1045  2.926  0.129  1.000  0.610  1.000  1.830  1.707  1.101  0.637  0.317  0.160  0.072
  550.0   00  1.5000 -1.000e-08  0.085  0.085    1.50  0.8986  2.381  0.129  1.000  0.584  1.000  1.753  1.571  0.945  0.514  0.238  0.113  0.048
  600.0   00  1.4900 -1.600e-08  0.085  0.085    1.50  0.7067  1.872  0.129  1.000  0.559  1.000  1.677  1.457  0.821  0.420  0.182  0.082  0.033
  675.0   00  1.4900 -1.013e-08  0.085  0.085    1.50  0.5270  1.396  0.129  1.000  0.518  1.000  1.556  1.296  0.661  0.308  0.121  0.050  0.018
  800.0   00  1.4800 -1.950e-06  0.085  0.085    1.50  0.3183  0.843  0.129  1.000  0.453  1.000  1.359  1.090  0.477  0.191  0.065  0.023  0.008
  870.0   00  1.4791 -2.307e-05  0.085  0.085    1.50  0.2475  0.655  0.129  0.999  0.418  1.000  1.255  0.999  0.402  0.148  0.046  0.015  0.005
 1000.0   00  1.4700 -1.410e-04  0.085  0.085    1.50  0.1570  0.416  0.129  0.998  0.358  1.000  1.075  0.866  0.301  0.094  0.026  0.008  0.002
 1020.0   00  1.4682 -1.612e-04  0.085  0.085    1.50  0.1457  0.386  0.129  0.998  0.349  1.000  1.050  0.849  0.289  0.088  0.024  0.007  0.002
55555.6   00  1.7600 -5.000e-01  0.085  0.085    1.50  0.0184  0.049  0.129  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
23529.4   00  1.7595 -1.889e-01  0.085  0.085    1.50  0.0106  0.028  0.129  0.000  0.001  1.000  0.004  0.500  0.001  0.000  0.000  0.000  0.000
17699.1   00  1.7802 -1.275e-01  0.085  0.085    1.50  0.0094  0.025  0.129  0.001  0.002  1.000  0.006  0.500  0.001  0.000  0.000  0.000  0.000
15037.6   00  1.4534 -3.609e-02  0.085  0.085    1.50  0.0040  0.010  0.129  0.001  0.002  1.000  0.007  0.500  0.001  0.000  0.000  0.000  0.000
13157.9   00  1.4096 -1.878e-02  0.085  0.085    1.50  0.0025  0.006  0.129  0.003  0.003  1.000  0.010  0.500  0.002  0.000  0.000  0.000  0.000
11111.1   00  1.4788 -1.398e-02  0.085  0.085    1.50  0.0021  0.006  0.129  0.008  0.005  1.000  0.014  0.500  0.003  0.000  0.000  0.000  0.000
 9708.7   00  1.5673 -1.618e-02  0.085  0.085    1.50  0.0026  0.007  0.129  0.014  0.006  1.000  0.019  0.500  0.003  0.000  0.000  0.000  0.000
 8849.6   00  1.6490 -2.965e-02  0.085  0.085    1.50  0.0050  0.013  0.129  0.014  0.008  1.000  0.024  0.500  0.004  0.000  0.000  0.000  0.000
 7782.1   00  1.4018 -1.145e-02  0.085  0.085    1.50  0.0026  0.007  0.129  0.018  0.009  1.000  0.027  0.500  0.005  0.000  0.000  0.000  0.000
 6968.6   00  1.3857 -1.202e-03  0.085  0.085    1.50  0.0004  0.001  0.129  0.070  0.011  1.000  0.033  0.500  0.007  0.000  0.000  0.000  0.000
 6097.6   00  1.5136 -1.766e-02  0.085  0.085    1.50  0.0047  0.013  0.129  0.038  0.015  1.000  0.046  0.501  0.008  0.000  0.000  0.000  0.000
 5154.6   00  1.4668 -3.164e-03  0.085  0.085    1.50  0.0013  0.003  0.129  0.254  0.021  1.000  0.062  0.502  0.012  0.000  0.000  0.000  0.000
 4618.9   00  1.4861 -1.522e-03  0.085  0.085    1.50  0.0011  0.003  0.129  0.499  0.026  1.000  0.079  0.502  0.015  0.000  0.000  0.000  0.000
 4319.7   00  1.4910 -1.334e-03  0.085  0.085    1.50  0.0012  0.003  0.129  0.589  0.030  1.000  0.090  0.503  0.018  0.000  0.000  0.000  0.000
 4016.1   00  1.4809 -1.395e-03  0.085  0.085    1.50  0.0016  0.004  0.129  0.619  0.035  1.000  0.103  0.504  0.020  0.001  0.000  0.000  0.000
 3418.8   00  1.4811 -1.980e-03  0.085  0.085    1.50  0.0028  0.008  0.129  0.652  0.047  1.000  0.141  0.507  0.027  0.001  0.000  0.000  0.000
 3444.7   00  1.4813 -1.870e-03  0.085  0.085    1.50  0.0027  0.007  0.129  0.661  0.047  1.000  0.139  0.506  0.027  0.001  0.000  0.000  0.000
 2777.0   00  1.5810 -1.043e-02  0.085  0.085    1.50  0.0112  0.029  0.129  0.458  0.073  1.000  0.220  0.515  0.040  0.003  0.000  0.000  0.000
 2320.2   00  1.4064 -1.655e-03  0.085  0.085    1.50  0.0082  0.022  0.129  0.766  0.093  1.000  0.280  0.527  0.056  0.005  0.000  0.000  0.000
 2044.2   00  1.4453 -1.006e-03  0.085  0.085    1.50  0.0127  0.034  0.129  0.918  0.119  1.000  0.358  0.543  0.071  0.007  0.001  0.000  0.000
 1778.4   00  1.4504 -7.926e-04  0.085  0.085    1.50  0.0209  0.055  0.129  0.960  0.153  1.000  0.457  0.570  0.093  0.012  0.002  0.000  0.000
 1455.2   00  1.4629 -5.351e-04  0.085  0.085    1.50  0.0446  0.118  0.129  0.984  0.213  1.000  0.639  0.633  0.139  0.026  0.004  0.001  0.000
 1270.3   00  1.4701 -3.753e-04  0.085  0.085    1.50  0.0728  0.193  0.129  0.991  0.262  1.000  0.786  0.698  0.183  0.042  0.008  0.002  0.000
  944.3   00  1.4769 -8.241e-05  0.085  0.085    1.50  0.1940  0.514  0.129  0.999  0.383  1.000  1.150  0.917  0.338  0.114  0.033  0.010  0.003
  693.5   00  1.4899 -1.116e-07  0.085  0.085    1.50  0.4906  1.300  0.129  1.000  0.508  1.000  1.526  1.261  0.628  0.286  0.110  0.045  0.016
  527.1   00  1.5010 -1.264e-08  0.085  0.085    1.50  0.9896  2.622  0.129  1.000  0.596  1.000  1.788  1.631  1.012  0.566  0.271  0.132  0.058
