ssc RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0   00  1.5100 -2.000e-06  0.401  0.401    1.80  2.3440  0.839  0.952  1.000  0.730  1.000  2.191  3.221  3.361  4.177  4.284  4.973  5.154
  400.0   00  1.5000 -3.000e-08  0.401  0.401    1.80  2.4454  0.876  0.952  1.000  0.712  1.000  2.136  3.100  3.173  3.847  3.881  4.371  4.469
  440.0   00  1.4997 -2.383e-08  0.401  0.401    1.80  2.4929  0.893  0.952  1.000  0.705  1.000  2.113  3.050  3.096  3.720  3.721  4.146  4.202
  500.0   00  1.5000 -1.550e-08  0.401  0.401    1.80  2.5588  0.916  0.952  1.000  0.697  1.000  2.092  2.988  2.998  3.538  3.495  3.824  3.830
  550.0   00  1.5000 -1.000e-08  0.401  0.401    1.80  2.6166  0.937  0.952  1.000  0.693  1.000  2.078  2.943  2.926  3.403  3.325  3.582  3.549
  600.0   00  1.4900 -1.600e-08  0.401  0.401    1.80  2.6762  0.958  0.952  1.000  0.695  1.000  2.085  2.926  2.900  3.292  3.190  3.355  3.301
  675.0   00  1.4900 -1.013e-08  0.401  0.401    1.80  2.7505  0.985  0.952  1.000  0.693  1.000  2.079  2.882  2.828  3.131  2.983  3.059  2.957
  800.0   00  1.4800 -1.950e-06  0.401  0.401    1.80  2.8484  1.020  0.952  1.000  0.700  1.000  2.099  2.852  2.779  2.936  2.730  2.666  2.508
  870.0   00  1.4791 -2.307e-05  0.401  0.401    1.80  2.8824  1.032  0.952  0.999  0.702  1.000  2.105  2.830  2.743  2.836  2.600  2.481  2.297
 1000.0   00  1.4700 -1.410e-04  0.401  0.401    1.80  2.8998  1.038  0.952  0.998  0.710  1.000  2.131  2.821  2.724  2.711  2.428  2.222  1.997
 1020.0   00  1.4682 -1.612e-04  0.401  0.401    1.80  2.8986  1.038  0.952  0.998  0.711  1.000  2.136  2.821  2.723  2.695  2.406  2.188  1.958
55555.6   00  1.7600 -5.000e-01  0.401  0.401    1.80  0.1479  0.053  0.952  0.027  0.096  1.000  0.289  0.532  0.052  0.006  0.001  0.000  0.000
23529.4   00  1.7595 -1.889e-01  0.401  0.401    1.80  0.1019  0.036  0.952  0.133  0.186  1.000  0.557  0.603  0.107  0.023  0.005  0.002  0.000
17699.1   00  1.7802 -1.275e-01  0.401  0.401    1.80  0.1230  0.044  0.952  0.309  0.261  1.000  0.782  0.681  0.168  0.047  0.013  0.004  0.001
15037.6   00  1.4534 -3.609e-02  0.401  0.401    1.80  0.0595  0.021  0.952  0.420  0.284  1.000  0.854  0.792  0.264  0.092  0.033  0.013  0.005
13157.9   00  1.4096 -1.878e-02  0.401  0.401    1.80  0.0534  0.019  0.952  0.598  0.323  1.000  0.968  0.880  0.338  0.133  0.052  0.022  0.010
11111.1   00  1.4788 -1.398e-02  0.401  0.401    1.80  0.0927  0.033  0.952  0.789  0.379  1.000  1.138  0.989  0.426  0.185  0.076  0.034  0.014
 9708.7   00  1.5673 -1.618e-02  0.401  0.401    1.80  0.1766  0.063  0.952  0.845  0.420  1.000  1.257  1.052  0.480  0.220  0.093  0.044  0.018
 8849.6   00  1.6490 -2.965e-02  0.401  0.401    1.80  0.2959  0.106  0.952  0.809  0.440  1.000  1.321  1.067  0.499  0.232  0.097  0.047  0.019
 7782.1   00  1.4018 -1.145e-02  0.401  0.401    1.80  0.1716  0.062  0.952  0.847  0.486  1.000  1.459  1.330  0.753  0.409  0.209  0.110  0.057
 6968.6   00  1.3857 -1.202e-03  0.401  0.401    1.80  0.1628  0.058  0.952  0.952  0.524  1.000  1.573  1.481  0.900  0.522  0.282  0.156  0.084
 6097.6   00  1.5136 -1.766e-02  0.401  0.401    1.80  0.4605  0.165  0.952  0.877  0.541  1.000  1.623  1.478  0.913  0.535  0.290  0.163  0.087
 5154.6   00  1.4668 -3.164e-03  0.401  0.401    1.80  0.5266  0.189  0.952  0.980  0.587  1.000  1.760  1.708  1.157  0.737  0.432  0.256  0.147
 4618.9   00  1.4861 -1.522e-03  0.401  0.401    1.80  0.7099  0.254  0.952  0.989  0.602  1.000  1.808  1.784  1.247  0.817  0.490  0.298  0.173
 4319.7   00  1.4910 -1.334e-03  0.401  0.401    1.80  0.8169  0.293  0.952  0.992  0.613  1.000  1.840  1.842  1.318  0.883  0.541  0.335  0.199
 4016.1   00  1.4809 -1.395e-03  0.401  0.401    1.80  0.9050  0.325  0.952  0.991  0.629  1.000  1.886  1.930  1.425  0.982  0.621  0.392  0.240
 3418.8   00  1.4811 -1.980e-03  0.401  0.401    1.80  1.1873  0.425  0.952  0.988  0.653  1.000  1.958  2.082  1.621  1.173  0.781  0.517  0.331
 3444.7   00  1.4813 -1.870e-03  0.401  0.401    1.80  1.1738  0.420  0.952  0.988  0.652  1.000  1.955  2.074  1.611  1.164  0.773  0.510  0.326
 2777.0   00  1.5810 -1.043e-02  0.401  0.401    1.80  1.9263  0.690  0.952  0.947  0.642  1.000  1.925  2.059  1.647  1.246  0.865  0.618  0.408
 2320.2   00  1.4064 -1.655e-03  0.401  0.401    1.80  1.6673  0.597  0.952  0.987  0.727  1.000  2.182  2.592  2.312  1.901  1.445  1.064  0.779
 2044.2   00  1.4453 -1.006e-03  0.401  0.401    1.80  2.0639  0.739  0.952  0.993  0.718  1.000  2.154  2.586  2.327  1.959  1.522  1.154  0.868
 1778.4   00  1.4504 -7.926e-04  0.401  0.401    1.80  2.3357  0.837  0.952  0.995  0.722  1.000  2.166  2.659  2.447  2.128  1.706  1.340  1.044
